class_title,description,handout,handout_chinese,handout_spanish,handout_bengali,handout_french,handout_russian,additional_materials,prerequisite,level,series,format
Artist Development Series: Music Distribution for Artists,"If you're an emerging artist or looking to take your career to the next level, this series will share practical tools for releasing new music and refining your strategy in the music industry. The Artist Development Series is presented by NYC’s  Biscuit Head and is full of industry insights into topics like release strategy, music distribution for new artists, navigating social media, and tips and best practices for playlisting.

In this workshop on Music Distribution for Artists, we’ll take a deep dive into distribution, understand the most effective ways to get your music into the hands of listeners, and explore factors to evaluate when choosing distributors that help you meet your goals.

In this workshop, we’ll discuss:
1. Types of Distribution and their differences (Major Label vs Indie vs Preferred/Partner)
2. How to choose the right distributor
3. DSPs and why they matter
This workshop is purely informational and does not constitute any type of business or legal advice.
Biscuit Head features Platinum-winning producers, Billboard-topping engineers, and Grammy-nominated mixers who are passionate about helping artists build authentic strategy around their unique needs and dedicated to fighting gatekeeping in the music industry by sharing information and building connections.
Luis Valencia has 7+ years of music business and artist management experience. After graduating Harvard with a BA in Economics (2020), He went on to establish his own management company, and has most recently worked at Hyperion Artists, Fenway Recordings, and Madison Square Garden Entertainment Group and is the President and Co Founder of Biscuit Head. He has extensive knowledge of artist management combined with an unwavering commitment to developing independent artists.",,,,,,,,,None,"studio40, music industry",workshop
Artist Development Series: Playlist Strategy for Emerging Artists,"If you're an emerging artist or looking to take your career to the next level, this series will share practical tools for releasing new music and refining your strategy in the music industry. The Artist Development Series is presented by NYC’s  Biscuit Head Collective and is full of industry insights into topics like release strategy, music distribution for new artists, navigating social media, and tips and best practices for playlisting.

In this workshop on Playlisting for emerging Artists, we’ll explore strategies for leveraging playlists as a powerful tool for increasing visibility, boosting engagement, and reaching new audiences with your music.

In this workshop, we’ll discuss:
1. Pitching to editorial and user-generated playlists
2. Best practices for playlist submission
3. Becoming a playlist curator
4. Best practices for Algorithmic playlisting
This workshop is purely informational and does not constitute any type of business or legal advice.
Biscuit Head features Platinum-winning producers, Billboard-topping engineers, and Grammy-nominated mixers who are passionate about helping artists build authentic strategy around their unique needs and dedicated to fighting gatekeeping in the music industry by sharing information and building connections.
Luis Valencia has 7+ years of music business and artist management experience. After graduating Harvard with a BA in Economics (2020), He went on to establish his own management company, and has most recently worked at Hyperion Artists, Fenway Recordings, and Madison Square Garden Entertainment Group and is the President and Co Founder of Biscuit Head. He has extensive knowledge of artist management combined with an unwavering commitment to developing independent artists.",,,,,,,,,None,"studio40, music industry",workshop
Artist Development Series: Social Media Strategy for Artists,"If you're an emerging artist or looking to take your career to the next level, this series will share practical tools for releasing new music and refining your strategy in the music industry. The Artist Development Series is presented by NYC’s  Biscuit Head Collective and is full of industry insights into topics like release strategy, music distribution for new artists, navigating social media, and tips and best practices for playlisting.


In this workshop on Social Media Strategy for Artists, we’ll explore how artists can build an online presence and use social media platforms to connect with current fans, engage new audiences, and promote their music effectively.

In this workshop, we’ll discuss:
1. Key platforms (Instagram, TikTok, YouTube)
2. Building an effective social media timeline
3. The Importance of Having songs and promotional assets in reserve
4. Resources for Video content
This workshop is purely informational and does not constitute any type of business or legal advice.
Biscuit Head features Platinum-winning producers, Billboard-topping engineers, and Grammy-nominated mixers who are passionate about helping artists build authentic strategy around their unique needs and dedicated to fighting gatekeeping in the music industry by sharing information and building connections.
Luis Valencia has 7+ years of music business and artist management experience. After graduating Harvard with a BA in Economics (2020), He went on to establish his own management company, and has most recently worked at Hyperion Artists, Fenway Recordings, and Madison Square Garden Entertainment Group and is the President and Co Founder of Biscuit Head. He has extensive knowledge of artist management combined with an unwavering commitment to developing independent artists.",,,,,,,,,None,"studio40, music industry",workshop
Buying & Selling Online,"Learn on to protect yourself when shopping online, as well as what services are available and how to take full advantage of them.",https://drive.google.com/file/d/1iV3Y6rIHrPl2pUsAhx0GtjWA1wPtTUDN/view,,,,,,,,Beginner,computer basics,class
Code + Create Open Lab,"Come and get help with your coding and/or creative projects on an iPad or Mac computer! Ask questions, experiment, share progress and inspiration, and use our Mac Lab equipment to work on your projects in Xcode, Procreate, iMovie, and more. Also learn how you can borrow a Chromebook from the library, just like a book!

Available hardware and software for the Lab incluedes:

Xcode
Pro Tools
Logic Pro X
iMovie
Premiere Rush (on iPads)

Recommended Prerequisites: To get the most out of this open lab, it is recommended that you attend one of our coding or multimedia programs first.",,,,,,,,,None,"programming, media production, support",lab
Computer Basics,"Learn about the various types and components of computers, including basic computer terminology, an overview of operating systems, and popular software applications. ",https://drive.google.com/file/d/1JwvmFvTIIKw0xslrkKFaMA4iXdl75hEG/view,https://drive.google.com/file/d/1Le6_6Mv241YTbOGCvBVGQ7_60H5AsPAn/view,https://drive.google.com/file/d/1S5P12lecYdfA9JM1sSpuij0pZ8NSr7I-/view,https://drive.google.com/file/d/1frGQh4-4xBij4eY4hlwJbD1CvuTCYBuw/view,,,,,Beginner,computer basics,class
Connecting to the Cloud,Curious about the cloud and what it can do for you. Take this immersive class!,,,,,,,,,Beginner,computer basics,class
Consuming Web APIs with Python,"Most of the apps and websites that we interact with use web APIs to get their data. In this class, we are going to learn what web APIs are and how to use them in Python. We will also learn about JSON, a common data format that most web APIs use.",,,,,,,,Python Container Datatypes,Advanced,"python, programming, web development",class
Create 3D Models Using TinkerCAD on iPad,"Learn to create 3D models on iPads using the browser based application TinkerCAD. This workshop will cover an overview of 3D modeling, creating a TinkerCAD account, and learning how to create, modify, and move 3D objects. ",,,,,,,,,Beginner,"3d printing, 3d modeling, tinkercad",workshop
Create a Website with Google Sites,Create your own website using Google Sites. Learn how to use templates to create a site or create a site from scratch.,https://drive.google.com/file/d/1a_dtQ_zw_qOU-FyE-M0L0GfyK7AdF42B/view,,,,,,,,Intermediate,"google, website builder, google sites",class
Create a Website with Wordpress,Create your own website using WordPress. Learn how to use templates to create a site or create a site from scratch.,https://drive.google.com/file/d/1ldV1OpR6_guyOaxjgVd1MsSiQUF8ael2/view,,,,,,,,Intermediate,"wordpress, website builder",class
Creative Media Open Lab,"Come workshop your creative media projects with support from Studio40 staff and the community of Studio40 media-makers. Ask questions, experiment, share progress and inspiration, and use the Mac lab software to work on your projects in music, video, and podcast production, and more.
Available hardware and software in the Lab:
- Pro Tools
- Logic Pro X
- GarageBand
- Ableton Live Standard
- Audacity
- iMovie
- MIDI Keyboards, HD mixing headphones, Scarlett Solo Interface
- Additional hardware and equipment may be available on request
Recommended Prerequisites: Audio or Video Media Production Classes at NYPL. To get the most out of this open lab, it is recommended that attend one of our introductory audio or video media production classes first.
This class is part of the media & production classes offered at studio40. To learn more, visit https://on.nypl.org/studio40",,,,,,,,studio40 Orientation 101 & 201,None,"studio40, media production, support",lab
CSS Workshop: Navigation Bars,Learn to create various styles of navigation bars for websites using CSS. Basic familiarity with HTML and CSS is required.,,,,,,,https://codesandbox.io/p/sandbox/56ggtz,HTML & CSS Basics,Intermediate,"web development, frontend, css, programming",workshop
Design 360: Illustrator 1: Shape Design,"This course explores methods of shape creation and manipulation, as well as how to apply patterns, gradients and meshes to shapes, and how to manage larger projects with symbols and global colors.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1QYbwXwilTd1DyWTRgI7E31Npwhdw1i_p/view,,,,,,https://drive.google.com/file/d/1pUE5TImUGBm10RzSmaIVFhXiFnwuS2Qf/view,Design 360: Illustrator for Beginners,Intermediate,"graphic design, adobe illustrator, media production",class
Design 360: Illustrator 2: Text Design,"This class explores how to manipulate text in Illustrator and Photoshop, including topics on different methods of placing type, changing properties, converting type into shapes, and basic typography theory.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1SxLPYjEv36o06phMKIubLpNkQM2Dtgiy/view,,,,,,https://drive.google.com/file/d/1FwunOjTa3tqM6vl23pYERZlo01WTOzHA/view,Design 360: Illustrator 1: Shape Design,Intermediate,"graphic design, adobe illustrator, media production",class
Design 360: Illustrator 3: Illustration and Tracing,"This class explores the many ways to draw and trace in Adobe Illustrator, including using brushes, the Blob Brush, Live Trace, and Live Paint.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1FNOvjX_jILUhQxkiMDyxOgKFqIZgehbU/view,,,,,,https://drive.google.com/file/d/1zSMW2bvb6nsAkmq4vKw9brLBI5Z2MvI4/view,Design 360: Illustrator 2: Text Design,Intermediate,"graphic design, adobe illustrator, media production",class
Design 360: Illustrator for Beginners,"Learn the basics of Adobe's vector graphic creation program and how to create exciting digital art for print, video, and web.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1Ld9AEaEG0kJp9QvadnITEXGPcr0m1Obu/view,,,,,,,,Intermediate,"graphic design, adobe illustrator, media production",class
Design 360: Photoshop 1: Photo Retouching 1,"This class explores photo retouching techniques and tools for filling in cracks, removing wrinkles, and fixing blemishes.  Topics include Spot Healing Brush, Healing Brush, Clone Stamp, and Frequency Separation.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1tt4wlrninTGffgr6ADJLV_AIEo0xiH5m/view,,,,,,https://drive.google.com/file/d/1hj7pOcebD7RGhywGf7fmsdhonEsrCoHv/view,Design 360: Photoshop Basics ,Intermediate,"photo editing, adobe photoshop, media production",class
Design 360: Photoshop 2: Photo Retouching 2,"This class continues to explore photo retouching techniques, this time focusing on those used in recoloring photographs.  Topics include masks, adjustment layers, frequency separation, and skin tone blending.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/177kz4sTMzEY5Yk-iQc9r3CgJljNhvDf6/view,,,,,,https://drive.google.com/file/d/14yco7t7x5nnLdrzhGB_2du3qzokntdVW/view,Design 360: Photoshop 1: Photo Retouching 1,Intermediate,"photo editing, adobe photoshop, media production",class
Design 360: Photoshop 3: Brushes and Digital Art,"This class explores Photoshop’s digital painting toolset, creating everything from realistic oil paints to chaotic effects.  Topics include brushes, brush customization, brush tip creation, and the mixer brush.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1CD0vkw4NZUE3gXa0j1um01ot8ZwnpgFC/view,,,,,,https://drive.google.com/file/d/19C7Uci7BEgGYWNj1IVILoHd130Wi78Uy/view,Design 360: Photoshop 2: Photo Retouching 2,Intermediate,"photo editing, adobe photoshop, media production",class
Design 360: Photoshop 4: Compositing,"This class explores tools and techniques for compositing, the process of making multiple images look like a single composition. Topics include masks, selection techniques, blending modes, puppet warp, and alternative transform modes.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",https://drive.google.com/file/d/1cdzo-aUcBp1TO6et6X6fjvOa2y70ITYF/view,,,,,,https://drive.google.com/file/d/1rHF2ANx2fUVMMG9AmLzm02CRtGeCzDtV/view,Design 360: Photoshop 3: Brushes and Digital Art,Intermediate,"photo editing, adobe photoshop, media production",class
Design 360: Photoshop Basics ,"Learn how to enhance photos using the # 1 photo editing software in the world: Adobe Photoshop. Get a basic introduction to Photoshop's tools, layers, and adjustments as you work through two example projects.

This class is part of our Design 360 class series. To learn more, visit: bit.ly/43wQ2eq",,,,,,,,,Intermediate,"photo editing, adobe photoshop, media production",class
Design in 3D: Intro to 3D Printing & Modeling Part 1,The first of a two-part class introducing 3D printing and 3D modeling. Part 1 covers 3D printing processes and applications as well as an introduction to 3D modeling and CAD (Computer-Aided Design) software.,,,,,,,,,Intermediate,"3d printing, 3d modeling, tinkercad",class
Design in 3D: Intro to 3D Printing & Modeling Part 2,"The second of a two-part class introducing 3D printing and 3D modeling. Part 2 features Tinkercad, a free, web-based CAD software that makes 3D modeling easy and fun! Expect an in-depth walkthrough of Tinkercad and workshop time to create your own 3D models.",,,,,,,,,Beginner,"3d printing, 3d modeling, tinkercad",class
Develop in Swift: Build a Color Picker App,"Learn how to create iPhone apps for Apple from scratch with Xcode, an app-building software. This class will cover the different kinds of projects you can make, along with practice on how to design iOS apps.

If you are taking this class online, you will need a Mac computer with Xcode downloaded in order to get the most out of this class. If this class is in-person, Mac computers will be provided for those without them.",,,,,,,,,Advanced,"ios development, programming, swift",class
Digital Color Theory Workshop,"Learn how computers handle color in this lecture-based class. Topics include color systems used by computers, choosing colors for accessibility, and more.",,,,,,,,,Beginner,"digital art, photo editing, video editing, media production",workshop
Digital Learning Toolbox Part 1,Are you looking for ways to enhance your digital skills to keep up with the ever-changing technology? Attend a two-part class and discover resources to support your upskilling journey and boost digital competence. These resources are available online and on mobile devices for free and will be covered in the classes.,,,,,,,,,Beginner,"digital learning, library resource",class
Digital Learning Toolbox Part 2,Are you looking for ways to enhance your digital skills to keep up with the ever-changing technology? Attend a two-part class and discover resources to support your upskilling journey and boost digital competence. These resources are available online and on mobile devices for free and will be covered in the classes.,,,,,,,,,Beginner,"digital learning, library resource",class
Digital Media Basics,"Learn all about downloading music, videos, images and more!  Including streaming and sharing.",,,,,,,,,Beginner,computer basics,class
Downloading NYPL E-Books & Audiobooks,"Electronic books, audiobooks, digital music and video – all available through NYPL’s website! Learn how to take advantage of free access to new media from the comfort of your own home.",https://drive.google.com/file/d/1qBbTbqiMlliwGnnxGmZp3CNytFYYKqzh/view,https://drive.google.com/file/d/1ySA7JJgslO0EWWscY3jaPTQhG95Ykmvg/view,https://drive.google.com/file/d/1Dl-P4T9j__by5VKNWJf3RcWTHJEvaRBl/view,https://drive.google.com/file/d/1zj4Hj-ZM91eTUbKRtaxqxyTha3Kbqcqp/view,,,,,Beginner,library resource,class
Email Basics,"Learn how email works, sign up for a free email account, and learn about sending, replying to, forwarding messages and attachments.",https://drive.google.com/file/d/1aXw36G6EwUt_5sbTGeTFVI8VKB1-uYG_/view,https://drive.google.com/file/d/1oMrhrqZOf7h4LchDtqb_fOh5WS7t9XYf/view,https://drive.google.com/file/d/1zWIumNSXeen4bCKexm1zPsP-V_oVccFS/view,https://drive.google.com/file/d/1K-XEMnijC48sf5oVUlI6dP-cmxhsDYUl/view,,,,,Beginner,computer basics,class
Error Handling and Testing in Python,Learn how to build reliable and high-quality Python code through practical application of try-except blocks for error handling and comprehensive unit testing strategies.,https://colab.research.google.com/drive/1eaLkjr_k4ZvUkHe4NIke5rPszE5F7U_k,,,,,,,Errors and Exceptions in Python,Advanced,"python, programming",class
Errors and Exceptions in Python,"Learn to understand and navigate Python's error system including tracebacks, different types of errors and exceptions, and how to implement type checking to prevent issues before they occur.",https://colab.research.google.com/drive/1zSHSUZFXAgBJjqKpJv41GmjRfmlf7KlO,,,,,,,Intermediate Python Functions,Intermediate,"python, programming",class
Excel Genius Class 1: Logic Functions,"This class covers how to use conditional logic in formulas and functions, allowing you to create formulas that act differently in different circumstances. Topics covered include: IF statements, nested IF statements, AND & OR logic functions.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1gAlumEYzeZPkY-2grYM5aiFXjOhzwjbt/view,,,,,,https://drive.google.com/file/d/1UyYdsIrjFn2yl3IdeXgeQdjWZz9f52ba/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 2: Conditional Stat Functions,"This class covers how to take the basic logic from Class 1 and use it to create functions that process data based on conditions. Topics include SUMIF/AVERAGEIF/COUNTIF and SUMIFS/AVERAGEIFS/COUNTIFS.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1QsF6Cc4UfSzvazI0PcDwAHrAQEcm_kDl/view,,,,,,https://drive.google.com/file/d/1iKcmXKGTEBYhOI4KBmqjSRHQ4BiP_V52/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 3: Charts and Sparklines,"This class will cover how to customize charts to better visualize informations, as well as the pros and cons of various chart types. Topics include : Formatting charts, adding and customizing chart elements, creating mixed charts, chart analysis tools, and sparklines.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1kcGY76X1W-TNPNxPPsfLzhZ8GrHkrCVP/view,,,,,,https://drive.google.com/file/d/12IuqgxDVIXU4UZyM6ZOZXcGBG82bCtZ_/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 4: Tables and Data Validation,"This class will cover how to create Array Formulas, how to build and edit Tables, and how to write Structured References that make function writing easier and more flexible. We will also cover Data Validation and build drop-down lists in your spreadsheets.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1woWhxkILybWpuAzV0hjGy3HpahynL5wI/view,,,,,,https://drive.google.com/file/d/1bs8S4rf2HonS4geU0mPsErDtBS5L33W9/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 5: Pivot Tables,"This class will cover Pivot Tables, a powerful tool used to analyze relationships between data. We will cover setting up data for use in Pivot Tables, how to format results, filtering techniques, and interactive elements.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1ynO7PJRgFrXAAogLZSKtVGm8VIgLoPZz/view,,,,,,https://drive.google.com/file/d/1H6moiFzo0tCG4xSW8BI2oG9bnrbPObpW/view,Excel Genius Class 4: Tables and Data Validation,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 6: Creating a Dashboard,"This class will cover creating multiple Pivot Tables, Pivot Charts, and Slicers, and combining them into one interactive worksheet that we call a Dashboard.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1UUt7rPv2wLQvEshicMq8DgJkoW-c-dyj/view,,,,,,https://drive.google.com/file/d/1jMGgePceTY2L0M0p17hBfJHsrIgSSMmU/view,Excel Genius Class 5: Pivot Tables,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 7: VLOOKUP,"This class will cover the most popular lookup method in Excel, VLOOKUP, which used to search for and retrieve information in datasets, and work with the results.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1ZNg8i5YH1kfF_Deexjz14kvMoXMXSjIM/view,,,,,,https://drive.google.com/file/d/15kXzoFvzFHoclhMHAO_dhw9KTseyY7HC/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 8: LOOKUP and INDEX/MATCH,"This class will cover alternative lookup methods in Excel - LOOKUP and INDEX MATCH - and discuss the pros and cons of each.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1NbDfih983-EFKE9rZ-NVqk8ANYmora2p/view,,,,,,https://drive.google.com/file/d/1ZhO31ijLhqG9p39XnkBVhy3rnWVf0Dic/view,Excel Genius Class 7: VLOOKUP,Intermediate,"microsoft office, office software, microsoft excel",class
Excel Genius Class 9: String Functions and Goal Seek,"This class will cover how to use functions to modify strings, a useful tool when scrubbing data, and how to use goal seek to solve common problems.

This class is part of our Excel Genius class series. To learn more, visit: bit.ly/3KBj04g",https://drive.google.com/file/d/1Igk3g2HAcbOKG2ul2HAKhx27AXOscdOm/view,,,,,,https://drive.google.com/file/d/1pIVN1Zk23RBvcnlgdul9RgagH4qZibly/view,Intermediate Excel,Intermediate,"microsoft office, office software, microsoft excel",class
Exploratory Data Analysis in Python,"Learn how to get the most out of your data and make better decisions using Exploratory Data Analysis (EDA). This course covers the essential exploratory techniques for summarizing data. We will learn how to create and implement an EDA pipeline, explore available methods, and learn why, when, and how to apply them.",,,,,,,,Working with Files in Python,Advanced,"python, programming, data science, data analysis",class
Facebook Basics,Learn about the online social network Facebook.,https://drive.google.com/file/d/1Da6O0CU7xXAYPHQ1tYmvLqknw_laFTGE/view,,,,,,,,Beginner,social media,class
Figma Workshop: Create a Music Player,"Interested in becoming a UI or UX Designer? Check out Figma -- a free, easy-to-use, web-based rapid-prototyping design tool.
During this class, we will create a music player prototype together. While we will cover the basics of using Figma, previous experience with using Figma is recommended.",,,,,,,,Intro to UI & UX Design with Figma,Intermediate,"figma, user interface, user experience",workshop
Figma Workshop: Responsive Design,"Interested in becoming a UI or UX Designer? Check out Figma -- a free, easy-to-use, web-based rapid-prototyping design tool.

This class will focus on Figma's powerful Auto Layout feature, which you can use to create responsive designs for the web. While we will cover the basics of using Figma, previous experience with Figma is recommended but not required.",,,,,,,,Intro to UI & UX Design with Figma,Intermediate,"figma, user interface, user experience",workshop
File Management Basics,"Understanding how to work with files and folders is an important part of using your computer. In this class, you will learn about file structure, copy and deleting files, portable storage, and cloud storage.",https://drive.google.com/file/d/1YgDD97b1wiH1Fz7llc31QcrFPzg0Xfi4/view,https://drive.google.com/file/d/1FlLj0oVtADhi-4a_tVywgzqW4FsSJ9Ak/view,https://drive.google.com/file/d/1BiyXWVAnHIgz-dq2o49ogmltDDmjuh13/view,https://drive.google.com/file/d/1x6n7LelBG5ARSqKie56RVzIZWgdMPdXh/view,,,,,Beginner,computer basics,class
Finding a Job Online,"Learn how to use the internet to find and apply for jobs. Topics include searching for job listings, filling out online application forms, and submitting electronic resumes.",,,,,,,,,Beginner,career development,class
Finding an Apartment Online,Learn how to navigate websites effectively when searching for an apartment online.,,,,,,,,,Beginner,"computer basics, online services",class
Formatting Poetry with Google Docs,"Learn to features like graphical elements, tab stops, and section breaks to format poetry in Google Docs.",,,,,,,,Intro to Google Docs,Beginner,"google, office software, google docs",workshop
Formatting Poetry with Microsoft Word,"Learn to features like graphical elements, tab stops, and section breaks to format poetry in Microsoft Word.",,,,,,,,Microsoft Word for Beginners,Beginner,"microsoft office, office software, microsoft word",workshop
Fundamentals of Programming with Python Part 1,"Learn the fundamentals of computer programming with the popular language Python. This class will cover concepts fundamental to all programming languages and provide an introduction to coding more generally.

This class requires a gmail account to use Google Colab, a browser based coding environment.",https://colab.research.google.com/drive/19Jk0kkW0DfwIYWlaGoSz9rAda_cl_ane,,,,,,,,Intermediate,"python, programming",class
Fundamentals of Programming with Python Part 2,"Continue learning the fundamentals of computer programming with the popular language Python. This class continues to cover concepts fundamental to all programming languages and provide an introduction to coding more generally.

This class requires a gmail account to use Google Colab, a browser based coding environment.",https://colab.research.google.com/drive/1GLJt0M0bRrGV6tMJ2PKRASKV-K0_5z0z,,,,,,,Fundamentals of Programming with Python Part 1,Intermediate,"python, programming",class
GameMaker Workshop: Character Movement Basics,"Create various styles of 2D character controller in GameMaker. Learn to implement physics concepts like velocity, acceleration, friction, and gravity through code.",,,,,,,,Intro to GameMaker Code,Intermediate,"game development, programming, gamemaker",workshop
GarageBand for iPads,Create your own music and explore music production using the GarageBand app. ,,,,,,,,,Beginner,"ipad, music production, garageband, media production",class
Getting More out of Google,"Do you wanna know? Google knows. Google knows who what when where how and why. So if you want to know ask google. Explore the depths, discover the amazing.",https://drive.google.com/file/d/1gFuKQZQxHPuik5pEcE-ROQUZlHJYGrv2/view,,,,,,,,Beginner,"google, computer basics",class
Getting Started with Mobile App Development,"Have you ever wanted to design an app but didn’t know where to start? In this workshop, you will learn about the different types of apps used today before diving into brainstorming, planning, prototyping, and evaluating your app without writing a single line of code!",,,,,,,,,Intermediate,"ios development, mobile app development",class
Getting the Most out of the NYPL Catalog,"Explore our redesigned catalog. Search for books and other materials, learn how to place holds, rate an item, add items to your shelves, look at reviews and create lists.  ",https://drive.google.com/file/d/0BygXG2nR0DFhZXdyNy0tQks1Wlk/view,,,,,,,,Beginner,library resource,class
